,ETHBTC,LTCBTC,BNBBTC,NEOBTC,QTUMETH,timestamp
0,0.06978636,0.00404272,0.01274966,0.00051827,0.00196800,1677776159.6099322
1,0.06978786,0.00404163,0.01274853,0.00051808,0.00196800,1677776221.1873977
2,0.06978907,0.00404014,0.01274809,0.00051896,0.00196800,1677776283.609537
3,0.06979020,0.00403949,0.01274822,0.00051896,0.00196800,1677776345.177616
4,0.06979166,0.00403878,0.01274865,0.00051896,0.00196800,1677776407.1439466
5,0.06979381,0.00403883,0.01274902,0.00051897,0.00196800,1677776469.2697291
6,0.06980174,0.00403985,0.01275288,0.00051897,0.00196800,1677776531.253109
7,0.06981237,0.00403997,0.01275577,0.00051897,0.00197200,1677776593.6348577
8,0.06981813,0.00404016,0.01275875,0.00051897,0.00197200,1677776655.5859892
9,0.06982955,0.00404040,0.01276216,0.00051897,0.00197200,1677776718.025842
