,symbol,bidPrice,bidQty,askPrice,askQty,timestamp
0,ETHBTC,0.06987600,30.66960000,0.06987700,27.49140000,1677778434.8746119
1,LTCBTC,0.00405700,36.55300000,0.00405800,19.16700000,1677778434.8746119
2,BNBBTC,0.01276800,0.08500000,0.01276900,10.50200000,1677778434.8746119
3,NEOBTC,0.00052100,667.46000000,0.00052200,397.47000000,1677778434.8746119
4,QTUMETH,0.00197500,5.20000000,0.00198100,124.00000000,1677778434.8746119
0,ETHBTC,0.06987600,41.07440000,0.06987700,34.75840000,1677778455.151284
1,LTCBTC,0.00405700,51.55300000,0.00405800,6.52800000,1677778455.151284
2,BNBBTC,0.01276700,7.97700000,0.01276800,1.89800000,1677778455.151284
3,NEOBTC,0.00052100,667.46000000,0.00052200,232.93000000,1677778455.151284
4,QTUMETH,0.00197500,5.20000000,0.00198100,124.00000000,1677778455.151284
0,ETHBTC,0.06987600,43.69810000,0.06987700,23.64260000,1677778475.422
1,LTCBTC,0.00405600,66.82900000,0.00405800,45.56000000,1677778475.422
2,BNBBTC,0.01276900,10.08800000,0.01277000,0.08500000,1677778475.422
3,NEOBTC,0.00052100,713.16000000,0.00052200,191.80000000,1677778475.422
4,QTUMETH,0.00197500,5.20000000,0.00198100,124.00000000,1677778475.422
0,ETHBTC,0.06987600,45.25720000,0.06987700,15.36880000,1677778495.6982157
1,LTCBTC,0.00405700,64.27100000,0.00405900,96.60500000,1677778495.6982157
2,BNBBTC,0.01277200,2.03400000,0.01277300,12.27000000,1677778495.6982157
3,NEOBTC,0.00052100,713.16000000,0.00052200,191.80000000,1677778495.6982157
4,QTUMETH,0.00197500,5.20000000,0.00198100,124.00000000,1677778495.6982157
0,ETHBTC,0.06988600,35.26530000,0.06988700,0.29300000,1677778515.968794
1,LTCBTC,0.00405800,14.51900000,0.00405900,87.41900000,1677778515.968794
2,BNBBTC,0.01277400,7.45100000,0.01277500,29.36400000,1677778515.968794
3,NEOBTC,0.00052100,262.71000000,0.00052200,568.16000000,1677778515.968794
4,QTUMETH,0.00197300,92.20000000,0.00197900,124.20000000,1677778515.968794
0,ETHBTC,0.06988600,44.64160000,0.06988700,5.11880000,1677778536.6723208
1,LTCBTC,0.00405700,6.35100000,0.00405800,24.01900000,1677778536.6723208
2,BNBBTC,0.01277300,6.82300000,0.01277400,2.19400000,1677778536.6723208
3,NEOBTC,0.00052100,24.08000000,0.00052200,465.56000000,1677778536.6723208
4,QTUMETH,0.00197000,120.50000000,0.00197900,124.20000000,1677778536.6723208
0,ETHBTC,0.06988600,33.87410000,0.06988700,5.80780000,1677778556.958787
1,LTCBTC,0.00405700,6.35100000,0.00405800,49.84200000,1677778556.958787
2,BNBBTC,0.01277400,2.70400000,0.01277500,6.32000000,1677778556.958787
3,NEOBTC,0.00052100,24.08000000,0.00052200,735.95000000,1677778556.958787
4,QTUMETH,0.00197000,120.50000000,0.00197900,124.20000000,1677778556.958787
0,ETHBTC,0.06988600,28.30860000,0.06988700,0.67360000,1677778577.2346778
1,LTCBTC,0.00405700,38.92100000,0.00405800,25.37800000,1677778577.2346778
2,BNBBTC,0.01277400,2.64300000,0.01277500,7.05500000,1677778577.2346778
3,NEOBTC,0.00052100,345.74000000,0.00052200,410.47000000,1677778577.2346778
4,QTUMETH,0.00197200,33.30000000,0.00197900,124.20000000,1677778577.2346778
0,ETHBTC,0.06988800,34.36030000,0.06988900,7.15930000,1677778597.555549
1,LTCBTC,0.00405700,46.39500000,0.00405800,5.73100000,1677778597.555549
2,BNBBTC,0.01277400,2.11800000,0.01277500,7.04000000,1677778597.555549
3,NEOBTC,0.00052100,585.48000000,0.00052200,410.47000000,1677778597.555549
4,QTUMETH,0.00197200,231.10000000,0.00197900,124.20000000,1677778597.555549
0,ETHBTC,0.06988800,14.62340000,0.06988900,20.10340000,1677778617.9635952
1,LTCBTC,0.00405700,28.33700000,0.00405800,35.84300000,1677778617.9635952
2,BNBBTC,0.01277400,0.58900000,0.01277500,2.88100000,1677778617.9635952
3,NEOBTC,0.00052100,585.48000000,0.00052200,410.47000000,1677778617.9635952
4,QTUMETH,0.00197300,62.10000000,0.00197900,124.20000000,1677778617.9635952
0,ETHBTC,0.06988800,17.54730000,0.06988900,10.06460000,1677778638.2506962
1,LTCBTC,0.00405700,50.38900000,0.00405900,45.80700000,1677778638.2506962
2,BNBBTC,0.01277600,9.28800000,0.01277700,0.46200000,1677778638.2506962
3,NEOBTC,0.00052100,263.12000000,0.00052200,732.83000000,1677778638.2506962
4,QTUMETH,0.00197000,68.20000000,0.00197900,124.20000000,1677778638.2506962
0,ETHBTC,0.06988800,34.45050000,0.06988900,10.14010000,1677778658.5200963
1,LTCBTC,0.00405800,13.29900000,0.00405900,56.46700000,1677778658.5200963
2,BNBBTC,0.01277600,7.04100000,0.01277700,1.51300000,1677778658.5200963
3,NEOBTC,0.00052100,263.12000000,0.00052200,735.95000000,1677778658.5200963
4,QTUMETH,0.00197000,68.20000000,0.00197900,124.20000000,1677778658.5200963
0,ETHBTC,0.06988800,21.90620000,0.06988900,19.22540000,1677778678.7857077
1,LTCBTC,0.00405800,28.33700000,0.00405900,45.20100000,1677778678.7857077
2,BNBBTC,0.01277600,6.05800000,0.01277700,1.82100000,1677778678.7857077
3,NEOBTC,0.00052100,262.65000000,0.00052200,541.03000000,1677778678.7857077
4,QTUMETH,0.00197000,68.20000000,0.00197900,124.20000000,1677778678.7857077
0,ETHBTC,0.06988800,17.34790000,0.06988900,15.59130000,1677778699.056022
1,LTCBTC,0.00405800,28.08400000,0.00405900,52.57200000,1677778699.056022
2,BNBBTC,0.01277600,9.31200000,0.01277700,0.14100000,1677778699.056022
3,NEOBTC,0.00052100,19.12000000,0.00052200,1040.65000000,1677778699.056022
4,QTUMETH,0.00197000,6.00000000,0.00197900,124.20000000,1677778699.056022
0,ETHBTC,0.06988200,27.20260000,0.06988300,34.59030000,1677778719.3192692
1,LTCBTC,0.00405800,13.33700000,0.00405900,61.36600000,1677778719.3192692
2,BNBBTC,0.01277700,5.33600000,0.01277800,6.30600000,1677778719.3192692
3,NEOBTC,0.00052100,24.12000000,0.00052200,938.47000000,1677778719.3192692
4,QTUMETH,0.00197200,6.00000000,0.00197900,124.20000000,1677778719.3192692
0,ETHBTC,0.06988200,21.12440000,0.06988300,30.36090000,1677778739.589704
1,LTCBTC,0.00405800,42.42400000,0.00405900,45.46100000,1677778739.589704
2,BNBBTC,0.01277700,4.44400000,0.01277800,5.76600000,1677778739.589704
3,NEOBTC,0.00052100,23.85000000,0.00052200,938.20000000,1677778739.589704
4,QTUMETH,0.00197200,6.00000000,0.00197900,124.20000000,1677778739.589704
0,ETHBTC,0.06988100,40.72610000,0.06988200,32.76920000,1677778759.856801
1,LTCBTC,0.00405700,42.42700000,0.00405800,25.56800000,1677778759.856801
2,BNBBTC,0.01277700,6.42600000,0.01277800,3.48500000,1677778759.856801
3,NEOBTC,0.00052100,23.85000000,0.00052200,938.47000000,1677778759.856801
4,QTUMETH,0.00197200,6.00000000,0.00197900,124.20000000,1677778759.856801
0,ETHBTC,0.06988100,24.38340000,0.06988200,32.76920000,1677778780.1255121
1,LTCBTC,0.00405700,55.80000000,0.00405800,21.27700000,1677778780.1255121
2,BNBBTC,0.01277700,6.42600000,0.01277800,3.87200000,1677778780.1255121
3,NEOBTC,0.00052100,23.85000000,0.00052200,938.47000000,1677778780.1255121
4,QTUMETH,0.00197200,6.00000000,0.00197900,124.20000000,1677778780.1255121
0,ETHBTC,0.06988100,32.58230000,0.06988200,32.75630000,1677778800.42589
1,LTCBTC,0.00405700,64.40000000,0.00405800,7.94000000,1677778800.42589
2,BNBBTC,0.01277700,5.49300000,0.01277800,1.40200000,1677778800.42589
3,NEOBTC,0.00052100,19.89000000,0.00052200,938.47000000,1677778800.42589
4,QTUMETH,0.00197200,6.00000000,0.00197900,124.20000000,1677778800.42589
0,ETHBTC,0.06988200,57.86160000,0.06988300,8.34520000,1677778820.6973627
1,LTCBTC,0.00405800,62.97000000,0.00405900,1.49200000,1677778820.6973627
2,BNBBTC,0.01277900,5.13500000,0.01278000,2.15700000,1677778820.6973627
3,NEOBTC,0.00052100,161.57000000,0.00052200,938.47000000,1677778820.6973627
4,QTUMETH,0.00197200,6.00000000,0.00197900,124.20000000,1677778820.6973627
0,ETHBTC,0.06988200,59.26560000,0.06988300,19.76900000,1677778840.9677963
1,LTCBTC,0.00405800,53.84300000,0.00405900,19.15200000,1677778840.9677963
2,BNBBTC,0.01278000,8.11400000,0.01278100,1.66100000,1677778840.9677963
3,NEOBTC,0.00052100,6.84000000,0.00052200,1034.33000000,1677778840.9677963
4,QTUMETH,0.00197200,6.00000000,0.00197900,124.20000000,1677778840.9677963
0,ETHBTC,0.06988200,54.47230000,0.06988300,20.58890000,1677778861.3422716
1,LTCBTC,0.00405800,31.71000000,0.00405900,45.02400000,1677778861.3422716
2,BNBBTC,0.01278200,4.74400000,0.01278300,4.91100000,1677778861.3422716
3,NEOBTC,0.00052100,6.84000000,0.00052200,1086.32000000,1677778861.3422716
4,QTUMETH,0.00197100,59.60000000,0.00197700,2.60000000,1677778861.3422716
0,ETHBTC,0.06988200,34.65320000,0.06988300,23.49740000,1677778882.0607626
1,LTCBTC,0.00405800,16.71000000,0.00405900,72.17900000,1677778882.0607626
2,BNBBTC,0.01278300,4.56400000,0.01278400,8.98100000,1677778882.0607626
3,NEOBTC,0.00052000,1446.78000000,0.00052200,1145.53000000,1677778882.0607626
4,QTUMETH,0.00197500,62.20000000,0.00197800,124.40000000,1677778882.0607626
0,ETHBTC,0.06988200,36.46170000,0.06988300,18.07680000,1677778902.3311262
1,LTCBTC,0.00405800,42.43100000,0.00405900,44.01200000,1677778902.3311262
2,BNBBTC,0.01278300,3.93700000,0.01278400,5.40000000,1677778902.3311262
3,NEOBTC,0.00052000,991.45000000,0.00052100,135.57000000,1677778902.3311262
4,QTUMETH,0.00197500,59.60000000,0.00197800,124.40000000,1677778902.3311262
